Date,Open,High,Low,Close,Adj Close,Volume
2021-10-06,285.779999,293.630005,285.510010,293.109985,290.675568,28002600
2021-10-07,295.179993,296.640015,293.920013,294.850006,292.401154,20430500
2021-10-08,296.220001,296.640015,293.760010,294.850006,292.401154,17685700
2021-10-11,292.920013,297.970001,292.750000,294.230011,291.786316,19298600
2021-10-12,295.339996,295.440002,292.350006,292.880005,290.447479,17974100
2021-10-13,294.910004,297.279999,293.489990,296.309998,293.848999,23416300
2021-10-14,299.209991,303.269989,297.829987,302.750000,300.235504,27262900
2021-10-15,302.339996,304.450012,300.519989,304.209991,301.683380,25384800
2021-10-18,303.570007,308.209991,302.690002,307.290009,304.737823,22729300
2021-10-19,308.350006,309.299988,307.220001,308.230011,305.670013,17682100
2021-10-20,309.209991,309.700012,306.109985,307.410004,304.856781,16537100
2021-10-21,307.170013,311.019989,306.359985,310.760010,308.179016,16918100
2021-10-22,310.399994,311.089996,307.799988,309.160004,306.592285,17449300
2021-10-25,309.359985,309.399994,306.459991,308.130005,305.570862,17554500
2021-10-26,311.000000,312.399994,308.600006,310.109985,307.534393,28107300
2021-10-27,316.000000,326.100006,316.000000,323.170013,320.485931,52588700
2021-10-28,324.329987,324.869995,321.359985,324.350006,321.656128,26297900
2021-10-29,324.130005,332.000000,323.899994,331.619995,328.865723,34766000
2021-11-01,331.359985,331.489990,326.369995,329.369995,326.634430,27073200
2021-11-02,330.309998,333.450012,330.000000,333.130005,330.363190,26487100
2021-11-03,333.899994,334.899994,330.649994,334.000000,331.225983,21500100
2021-11-04,332.890015,336.540009,329.510010,336.440002,333.645721,23992200
2021-11-05,338.510010,338.790009,334.420013,336.059998,333.268829,22570100
2021-11-08,337.299988,337.649994,334.440002,336.989990,334.191132,20897000
2021-11-09,337.109985,338.720001,334.529999,335.950012,333.159790,21307400
2021-11-10,334.570007,334.630005,329.920013,330.799988,328.052551,25500900
2021-11-11,331.250000,333.769989,330.510010,332.429993,329.669037,16849800
2021-11-12,333.920013,337.230011,333.790009,336.720001,333.923401,23831000
2021-11-15,337.540009,337.880005,334.029999,336.070007,333.278809,16723000
2021-11-16,335.679993,340.670013,335.510010,339.510010,336.690247,20886800
2021-11-17,338.940002,342.190002,338.000000,339.119995,336.918701,19053400
2021-11-18,338.179993,342.450012,337.119995,341.269989,339.054749,22463500
2021-11-19,342.640015,345.100006,342.200012,343.109985,340.882813,21963400
2021-11-22,344.619995,349.670013,339.549988,339.829987,337.624084,31031100
2021-11-23,337.049988,339.450012,333.559998,337.679993,335.488068,30427600
2021-11-24,336.279999,338.160004,333.910004,337.910004,335.716553,21661300
2021-11-26,334.350006,337.929993,328.119995,329.679993,327.539978,24217200
2021-11-29,334.940002,339.029999,334.739990,336.630005,334.444885,28563500
2021-11-30,335.320007,337.779999,328.989990,330.589996,328.444061,42885600
2021-12-01,335.130005,339.279999,329.390015,330.079987,327.937408,33337600
2021-12-02,330.299988,333.489990,327.799988,329.489990,327.351227,30766000
2021-12-03,331.989990,332.700012,318.029999,323.010010,320.913300,41779300
2021-12-06,323.950012,327.450012,319.230011,326.190002,324.072662,30032600
2021-12-07,331.640015,335.799988,330.100006,334.920013,332.745972,31021900
2021-12-08,335.309998,335.500000,330.799988,334.970001,332.795654,24761000
2021-12-09,334.410004,336.489990,332.119995,333.100006,330.937775,22214200
2021-12-10,334.980011,343.000000,334.790009,342.540009,340.316528,38095700
2021-12-13,340.679993,343.790009,339.079987,339.399994,337.196869,28899400
2021-12-14,333.220001,334.640015,324.109985,328.339996,326.208679,44438700
2021-12-15,328.609985,335.190002,324.500000,334.649994,332.477722,35381100
2021-12-16,335.709991,336.760010,323.019989,324.899994,322.791016,35034800
2021-12-17,320.880005,324.920013,317.250000,323.799988,321.698151,47750300
2021-12-20,320.049988,322.799988,317.570007,319.910004,317.833405,28326500
2021-12-21,323.290009,327.730011,319.799988,327.290009,325.165497,24740600
2021-12-22,328.299988,333.609985,325.750000,333.200012,331.037170,24831500
2021-12-23,332.750000,336.390015,332.730011,334.690002,332.517456,19617800
2021-12-27,335.459991,342.480011,335.429993,342.450012,340.227112,19947000
2021-12-28,343.149994,343.809998,340.320007,341.250000,339.034882,15661500
2021-12-29,341.299988,344.299988,339.679993,341.950012,339.730377,15042000
2021-12-30,341.910004,343.130005,338.820007,339.320007,337.117432,15994500
2021-12-31,338.510010,339.359985,335.850006,336.320007,334.136902,18000800
2022-01-03,335.350006,338.000000,329.779999,334.750000,332.577087,28865100
2022-01-04,334.829987,335.200012,326.119995,329.010010,326.874359,32674300
2022-01-05,325.859985,326.070007,315.980011,316.380005,314.326355,40054300
2022-01-06,313.149994,318.700012,311.489990,313.880005,311.842560,39646100
2022-01-07,314.149994,316.500000,310.089996,314.040009,312.001526,32720000
2022-01-10,309.489990,314.720001,304.690002,314.269989,312.230042,44289500
2022-01-11,313.380005,316.609985,309.890015,314.980011,312.935455,29386800
2022-01-12,319.670013,323.410004,317.079987,318.269989,316.204041,34372200
2022-01-13,320.470001,320.880005,304.000000,304.799988,302.821503,45366000
2022-01-14,304.250000,310.820007,303.750000,310.200012,308.186462,39846400
2022-01-18,304.070007,309.799988,301.739990,302.649994,300.685455,42333200
2022-01-19,306.290009,313.910004,302.700012,303.329987,301.360992,45933900
2022-01-20,309.070007,311.649994,301.140015,301.600006,299.642242,35380700
2022-01-21,302.690002,304.109985,295.609985,296.029999,294.108429,57984400
2022-01-24,292.200012,297.109985,276.049988,296.369995,294.446228,85731500
2022-01-25,291.519989,294.989990,285.170013,288.489990,286.617340,72848600
2022-01-26,307.989990,308.500000,293.029999,296.709991,294.783997,90428900
2022-01-27,302.660004,307.299988,297.929993,299.839996,297.893677,53481300
2022-01-28,300.230011,308.480011,294.450012,308.260010,306.259033,49743700
2022-01-31,308.950012,312.380005,306.369995,310.980011,308.961395,46444500
2022-02-01,310.410004,310.630005,305.130005,308.760010,306.755768,40950400
2022-02-02,309.630005,315.119995,308.880005,313.459991,311.425262,36636000
2022-02-03,309.489990,311.230011,299.959991,301.250000,299.294556,43730000
2022-02-04,300.209991,308.799988,299.970001,305.940002,303.954102,35096500
2022-02-07,306.170013,307.839996,299.899994,300.950012,298.996490,28533300
2022-02-08,301.250000,305.559998,299.950012,304.559998,302.583038,32421200
2022-02-09,309.869995,311.929993,307.390015,311.209991,309.189880,31284700
2022-02-10,304.040009,309.119995,300.700012,302.380005,300.417206,45386200
2022-02-11,303.190002,304.290009,294.220001,295.040009,293.124878,39175600
2022-02-14,293.769989,296.760010,291.350006,295.000000,293.085114,36359500
